resume,jd_file,similarity_score
resume_software_engineer_2.txt,jd_project_management_5.txt,0.079
resume_software_engineer_2.txt,jd_sales_1.txt,0.026
resume_software_engineer_2.txt,jd_sales_2.txt,0.034
resume_software_engineer_2.txt,jd_sales_3.txt,0.055
resume_software_engineer_2.txt,jd_sales_4.txt,0.068
resume_software_engineer_2.txt,jd_sales_5.txt,0.04
resume_software_engineer_2.txt,jd_sales_6.txt,0.038
resume_software_engineer_2.txt,jd_software_engineer_1.txt,0.123
resume_software_engineer_2.txt,jd_software_engineer_2.txt,0.18
resume_software_engineer_2.txt,jd_software_engineer_3.txt,0.137
resume_software_engineer_2.txt,jd_software_engineer_4.txt,0.11
resume_software_engineer_2.txt,jd_software_engineer_5.txt,0.154
resume_software_engineer_2.txt,jd_software_engineer_6.txt,0.08
resume_software_engineer_3.txt,jd_data_science_1.txt,0.061
resume_software_engineer_3.txt,jd_data_science_2.txt,0.062
resume_software_engineer_3.txt,jd_data_science_3.txt,0.089
resume_software_engineer_3.txt,jd_data_science_4.txt,0.106
resume_software_engineer_3.txt,jd_data_science_5.txt,0.059
resume_software_engineer_3.txt,jd_finance_1.txt,0.04
resume_software_engineer_3.txt,jd_finance_2.txt,0.031
resume_software_engineer_3.txt,jd_finance_3.txt,0.05
resume_software_engineer_3.txt,jd_finance_4.txt,0.026
resume_software_engineer_3.txt,jd_project_management_1.txt,0.058
resume_software_engineer_3.txt,jd_project_management_2.txt,0.08
resume_software_engineer_3.txt,jd_project_management_3.txt,0.088
resume_software_engineer_3.txt,jd_project_management_4.txt,0.071
resume_software_engineer_3.txt,jd_project_management_5.txt,0.037
resume_software_engineer_3.txt,jd_sales_1.txt,0.029
resume_software_engineer_3.txt,jd_sales_2.txt,0.029
resume_software_engineer_3.txt,jd_sales_3.txt,0.053
resume_software_engineer_3.txt,jd_sales_4.txt,0.043
resume_software_engineer_3.txt,jd_sales_5.txt,0.035
resume_software_engineer_3.txt,jd_sales_6.txt,0.026
resume_software_engineer_3.txt,jd_software_engineer_1.txt,0.125
resume_software_engineer_3.txt,jd_software_engineer_2.txt,0.137
resume_software_engineer_3.txt,jd_software_engineer_3.txt,0.083
resume_software_engineer_3.txt,jd_software_engineer_4.txt,0.07
resume_software_engineer_3.txt,jd_software_engineer_5.txt,0.055
resume_software_engineer_3.txt,jd_software_engineer_6.txt,0.061
resume_software_engineer_4.txt,jd_data_science_1.txt,0.072
resume_software_engineer_4.txt,jd_data_science_2.txt,0.073
resume_software_engineer_4.txt,jd_data_science_3.txt,0.09
resume_software_engineer_4.txt,jd_data_science_4.txt,0.103
resume_software_engineer_4.txt,jd_data_science_5.txt,0.068
resume_software_engineer_4.txt,jd_finance_1.txt,0.039
resume_software_engineer_4.txt,jd_finance_2.txt,0.054
resume_software_engineer_4.txt,jd_finance_3.txt,0.064
resume_software_engineer_4.txt,jd_finance_4.txt,0.03
resume_software_engineer_4.txt,jd_project_management_1.txt,0.087
resume_software_engineer_4.txt,jd_project_management_2.txt,0.111
resume_software_engineer_4.txt,jd_project_management_3.txt,0.065
resume_software_engineer_4.txt,jd_project_management_4.txt,0.062
resume_software_engineer_4.txt,jd_project_management_5.txt,0.074
resume_software_engineer_4.txt,jd_sales_1.txt,0.035
resume_software_engineer_4.txt,jd_sales_2.txt,0.035
resume_software_engineer_4.txt,jd_sales_3.txt,0.057
resume_software_engineer_4.txt,jd_sales_4.txt,0.059
resume_software_engineer_4.txt,jd_sales_5.txt,0.024
resume_software_engineer_4.txt,jd_sales_6.txt,0.033
resume_software_engineer_4.txt,jd_software_engineer_1.txt,0.108
resume_software_engineer_4.txt,jd_software_engineer_2.txt,0.199
resume_software_engineer_4.txt,jd_software_engineer_3.txt,0.099
resume_software_engineer_4.txt,jd_software_engineer_4.txt,0.09
resume_software_engineer_4.txt,jd_software_engineer_5.txt,0.061
resume_software_engineer_4.txt,jd_software_engineer_6.txt,0.08
resume_software_engineer_5.txt,jd_data_science_1.txt,0.057
resume_software_engineer_5.txt,jd_data_science_2.txt,0.037
resume_software_engineer_5.txt,jd_data_science_3.txt,0.062
resume_software_engineer_5.txt,jd_data_science_4.txt,0.055
resume_software_engineer_5.txt,jd_data_science_5.txt,0.085
resume_software_engineer_5.txt,jd_finance_1.txt,0.055
resume_software_engineer_5.txt,jd_finance_2.txt,0.032
resume_software_engineer_5.txt,jd_finance_3.txt,0.053
resume_software_engineer_5.txt,jd_finance_4.txt,0.047
resume_software_engineer_5.txt,jd_project_management_1.txt,0.067
resume_software_engineer_5.txt,jd_project_management_2.txt,0.14
resume_software_engineer_5.txt,jd_project_management_3.txt,0.114
resume_software_engineer_5.txt,jd_project_management_4.txt,0.123
resume_software_engineer_5.txt,jd_project_management_5.txt,0.054
resume_software_engineer_5.txt,jd_sales_1.txt,0.031
resume_software_engineer_5.txt,jd_sales_2.txt,0.027
resume_software_engineer_5.txt,jd_sales_3.txt,0.036
resume_software_engineer_5.txt,jd_sales_4.txt,0.059
resume_software_engineer_5.txt,jd_sales_5.txt,0.032
resume_software_engineer_5.txt,jd_sales_6.txt,0.018
resume_software_engineer_5.txt,jd_software_engineer_1.txt,0.058
resume_software_engineer_5.txt,jd_software_engineer_2.txt,0.151
resume_software_engineer_5.txt,jd_software_engineer_3.txt,0.085
resume_software_engineer_5.txt,jd_software_engineer_4.txt,0.072
resume_software_engineer_5.txt,jd_software_engineer_5.txt,0.061
resume_software_engineer_5.txt,jd_software_engineer_6.txt,0.088
resume_software_engineer_6.txt,jd_data_science_1.txt,0.058
resume_software_engineer_6.txt,jd_data_science_2.txt,0.063
resume_software_engineer_6.txt,jd_data_science_3.txt,0.103
resume_software_engineer_6.txt,jd_data_science_4.txt,0.101
resume_software_engineer_6.txt,jd_data_science_5.txt,0.07
resume_software_engineer_6.txt,jd_finance_1.txt,0.039
resume_software_engineer_6.txt,jd_finance_2.txt,0.027
resume_software_engineer_6.txt,jd_finance_3.txt,0.049
resume_software_engineer_6.txt,jd_finance_4.txt,0.03
resume_software_engineer_6.txt,jd_project_management_1.txt,0.045
resume_software_engineer_6.txt,jd_project_management_2.txt,0.076
resume_software_engineer_6.txt,jd_project_management_3.txt,0.102
resume_software_engineer_6.txt,jd_project_management_4.txt,0.074
resume_software_engineer_6.txt,jd_project_management_5.txt,0.044
resume_software_engineer_6.txt,jd_sales_1.txt,0.041
resume_software_engineer_6.txt,jd_sales_2.txt,0.04
resume_software_engineer_6.txt,jd_sales_3.txt,0.054
resume_software_engineer_6.txt,jd_sales_4.txt,0.043
resume_software_engineer_6.txt,jd_sales_5.txt,0.023
resume_software_engineer_6.txt,jd_sales_6.txt,0.015
